name,url,,topic1,topic2,topic3,topic4,topic5
Immigration Policy Tracking Project,https://immpolicytracking.org/policies/?all=True&category=enforcement&agency=&department=,,immigration,,,,
Inc.,https://www.inc.com/,,economic,,,,
Labor Notes,https://www.labornotes.org/archives,,economic,,,,
U.S. Small Business Administration,https://www.sba.gov/articles?keyword=&article_type=All&field_article_authoring_office_target_id=All&langcode=en,,,,,,
American Federation of Labor and Congress of Industrial Organizations,https://aflcio.org/press/releases,,,,,,
U.S. Department of Health and Human Services: Office of Inspector General,https://oig.hhs.gov/reports/all/,,,,,,
U.S. Department of Health and Human Services: Press Releases,https://www.hhs.gov/about/news/index.html,,,,,,
Center on Budget and Policy Priorities,https://www.cbpp.org/comprehensive,,,,,,
Novaya Gazeta: Europe,https://novayagazeta.eu/,,,,,,
Novaya Gazeta: Russia,https://novayagazeta.ru/,,,,,,
The Leadership Conference on Civil and Human Rights,https://civilrights.org/press/,,,,,,
Snopes,https://www.snopes.com/,,,,,,
Politifact,https://www.politifact.com/,,,,,,
Fact Check,https://www.factcheck.org/,,,,,,
Media Bias/Fact Check,https://mediabiasfactcheck.com/,,,,,,
Reuters Fact Check,https://www.reuters.com/fact-check/,,,,,,
AP Fact Check,https://apnews.com/ap-fact-check,,,,,,
White House Presidential Actions,https://www.whitehouse.gov/presidential-actions/,,,,,,
American Oversight,https://americanoversight.org/our-work/our-latest/,,,,,,
Chatham House,https://www.chathamhouse.org/,,,,,,
House Agriculture Committee: Website News,https://agriculture.house.gov/news/documentquery.aspx,,,,,,
House Agriculture Committee: Committee Activity,https://www.congress.gov/committee/house-agriculture/hsag00,,,,,,
House Armed Services Committee: Website News,https://armedservices.house.gov/news/,,,,,,
House Armed Services Committee: Committee Activity,https://www.congress.gov/committee/house-armed-services/hsas00,,,,,,
House Appropriations Committee: Website News,https://appropriations.house.gov/news,,,,,,
House Appropriations Committee: Committee Activity,https://www.congress.gov/committee/house-appropriations/hsap00,,,,,,
House Budget Committee: Website News,https://budget.house.gov/news,,,,,,
House Budget Committee: Committee Activity,https://www.congress.gov/committee/house-budget/hsbu00,,,,,,
House Education and Workforce Committee: Website News,https://edworkforce.house.gov/news/,,,,,,
House Education and Workforce Committee: Committee Activity,https://www.congress.gov/committee/house-education-and-workforce/hsed00,,,,,,
House Energy and Commerce Committee: Website News,https://energycommerce.house.gov/news/press-release,,,,,,
House Energy and Commerce Committee: Committee Activity,https://www.congress.gov/committee/house-energy-and-commerce/hsif00,,,,,,
House Ethics Committee: Website News,https://ethics.house.gov/press-releases/,,,,,,
House Ethics Committee: Committee Activity,https://www.congress.gov/committee/house-ethics/hsso00,,,,,,
House Financial Services Committee: Website News,https://financialservices.house.gov/news/,,,,,,
House Financial Services Committee: Committee Activity,https://www.congress.gov/committee/house-financial-services/hsba00,,,,,,
House Foreign Affairs Committee: Website News,https://foreignaffairs.house.gov/updates/,,,,,,
House Foreign Affairs Committee: Committee Activity,https://www.congress.gov/committee/house-foreign-affairs/hsfa00,,,,,,
House Homeland Security Committee: Website News,https://homeland.house.gov/press/,,,,,,
House Homeland Security Committee: Committee Activity,https://www.congress.gov/committee/house-homeland-security/hshm00,,,,,,
Committee on House Administration: Website News,https://cha.house.gov/press-releases,,,,,,
Committee on House Administration: Committee Activity,https://www.congress.gov/committee/committee-on-house-administration/hsha00,,,,,,
House Judiciary Committee: Website News,https://judiciary.house.gov/media,,,,,,
House Judiciary Committee: Committee Activity,https://www.congress.gov/committee/house-judiciary/hsju00,,,,,,
House Natural Resources Committee: Website News,https://naturalresources.house.gov/news/documentquery.aspx?DocumentTypeID=1634,,,,,,
House Natural Resources Committee: Committee Activity,https://www.congress.gov/committee/house-natural-resources/hsii00,,,,,,
House Oversight and Government Reform Committee: Website News,https://oversight.house.gov/release/,,,,,,
House Oversight and Government Reform Committee: Committee Activity,https://www.congress.gov/committee/house-oversight-and-government-reform/hsgo00,,,,,,
House Rules Committee: Website News,https://rules.house.gov/media,,,,,,
House Rules Committee: Committee Activity,https://www.congress.gov/committee/house-rules/hsru00,,,,,,
"House Science, Space, and Technology Committee: Website News",https://science.house.gov/press-releases,,,,,,
"House Science, Space, and Technology Committee: Committee Activity",https://www.congress.gov/committee/house-science-space-and-technology/hssy00,,,,,,
House Small Business Committee: Website News,https://smallbusiness.house.gov/news/,,,,,,
House Small Business Committee: Committee Activity,https://www.congress.gov/committee/house-small-business/hssm00,,,,,,
House Transportation and Infrastructure Committee: Website News,https://transportation.house.gov/news/documentquery.aspx?DocumentTypeID=2545,,,,,,
House Transportation and Infrastructure Committee: Committee Activity,https://www.congress.gov/committee/house-transportation-and-infrastructure/hspw00,,,,,,
